date,daily_return
2015-05-25 03:10:30.887473,0.63
2015-05-26 03:10:30.887473,-0.41000000000000003
2015-05-27 03:10:30.887473,0.8099999999999999
2015-05-28 03:10:30.887473,1.8599999999999999
2015-05-29 03:10:30.887473,-0.25
2015-06-01 03:10:30.887473,-0.75
2015-06-02 03:10:30.887473,1.9300000000000002
2015-06-03 03:10:30.887473,0.95
2015-06-04 03:10:30.887473,-0.53
2015-06-05 03:10:30.887473,0.6799999999999999
2015-06-08 03:10:30.887473,-0.53
2015-06-09 03:10:30.887473,-0.53
2015-06-10 03:10:30.887473,0.32
2015-06-11 03:10:30.887473,-2.27
2015-06-12 03:10:30.887473,-2.04
2015-06-15 03:10:30.887473,-0.64
2015-06-16 03:10:30.887473,-1.1900000000000002
2015-06-17 03:10:30.887473,0.41000000000000003
2015-06-18 03:10:30.887473,-1.06
2015-06-19 03:10:30.887473,-1.66
2015-06-22 03:10:30.887473,1.79
2015-06-23 03:10:30.887473,-0.24
2015-06-24 03:10:30.887473,0.11
2015-06-25 03:10:30.887473,-1.68
2015-06-26 03:10:30.887473,-0.62
2015-06-29 03:10:30.887473,0.16
2015-06-30 03:10:30.887473,-1.35
2015-07-01 03:10:30.887473,0.48
2015-07-02 03:10:30.887473,-0.69
2015-07-03 03:10:30.887473,-0.32
2015-07-06 03:10:30.887473,-0.69
2015-07-07 03:10:30.887473,2.25
2015-07-08 03:10:30.887473,0.01
2015-07-09 03:10:30.887473,-1.24
2015-07-10 03:10:30.887473,1.02
2015-07-13 03:10:30.887473,-1.44
2015-07-14 03:10:30.887473,0.27999999999999997
2015-07-15 03:10:30.887473,-2.32
2015-07-16 03:10:30.887473,-1.5599999999999998
2015-07-17 03:10:30.887473,0.27
2015-07-20 03:10:30.887473,0.9199999999999999
2015-07-21 03:10:30.887473,0.24
2015-07-22 03:10:30.887473,-0.11
2015-07-23 03:10:30.887473,-0.33
2015-07-24 03:10:30.887473,-1.7399999999999998
2015-07-27 03:10:30.887473,-0.83
2015-07-28 03:10:30.887473,-0.52
2015-07-29 03:10:30.887473,1.3
2015-07-30 03:10:30.887473,0.44
2015-07-31 03:10:30.887473,-2.09
2015-08-03 03:10:30.887473,0.42
2015-08-04 03:10:30.887473,-0.43
2015-08-05 03:10:30.887473,-0.7799999999999999
2015-08-06 03:10:30.887473,0.76
2015-08-07 03:10:30.887473,1.27
2015-08-10 03:10:30.887473,1.15
2015-08-11 03:10:30.887473,-0.98
2015-08-12 03:10:30.887473,-0.33999999999999997
2015-08-13 03:10:30.887473,0.43
2015-08-14 03:10:30.887473,1.2
2015-08-17 03:10:30.887473,-0.5499999999999999
2015-08-18 03:10:30.887473,-0.19
2015-08-19 03:10:30.887473,-1.3
2015-08-20 03:10:30.887473,-1.41
2015-08-21 03:10:30.887473,1.01
2015-08-24 03:10:30.887473,1.66
2015-08-25 03:10:30.887473,-0.06
2015-08-26 03:10:30.887473,1.23
2015-08-27 03:10:30.887473,0.45999999999999996
2015-08-28 03:10:30.887473,-0.74
2015-08-31 03:10:30.887473,0.45999999999999996
2015-09-01 03:10:30.887473,1.8800000000000001
2015-09-02 03:10:30.887473,-0.01
2015-09-03 03:10:30.887473,1.91
2015-09-04 03:10:30.887473,-3.11
2015-09-07 03:10:30.887473,1.02
2015-09-08 03:10:30.887473,0.13
2015-09-09 03:10:30.887473,-0.33
2015-09-10 03:10:30.887473,0.13999999999999999
2015-09-11 03:10:30.887473,-2.36
2015-09-14 03:10:30.887473,-0.22999999999999998
2015-09-15 03:10:30.887473,0.45999999999999996
2015-09-16 03:10:30.887473,1.7999999999999998
2015-09-17 03:10:30.887473,-0.59
2015-09-18 03:10:30.887473,-0.9400000000000001
2015-09-21 03:10:30.887473,-0.5700000000000001
2015-09-22 03:10:30.887473,1.13
2015-09-23 03:10:30.887473,0.42
2015-09-24 03:10:30.887473,-0.61
2015-09-25 03:10:30.887473,0.65
2015-09-28 03:10:30.887473,0.15
2015-09-29 03:10:30.887473,1.1900000000000002
2015-09-30 03:10:30.887473,-0.8099999999999999
2015-10-01 03:10:30.887473,-0.36
2015-10-02 03:10:30.887473,-0.44
2015-10-05 03:10:30.887473,-1.73
2015-10-06 03:10:30.887473,0.38999999999999996
2015-10-07 03:10:30.887473,0.33999999999999997
2015-10-08 03:10:30.887473,0.04
2015-10-09 03:10:30.887473,-0.25
2015-10-12 03:10:30.887473,-1.67
2015-10-13 03:10:30.887473,-0.47000000000000003
2015-10-14 03:10:30.887473,-0.38
